Date,Continent,Country,Population,Total Tests,Total Cases,Active Cases,Critical Cases,Recovered,Total Deaths
2024-03-15,Africa,Djibouti,1016097,305941,15690,74,UNKNOWN,15427,189
2024-03-15,North America,Greenland,56973,164926,11971,9189,4,2761,21
2024-03-15,Africa,Eritrea,3662244,23693,10189,0,UNKNOWN,10086,103
2024-03-15,Africa,Niger,26083660,254538,9931,729,1,8890,312
2024-03-15,Africa,Saint Helena,6115,UNKNOWN,2166,2164,UNKNOWN,2,UNKNOWN
2024-03-15,South America,Falkland Islands,3539,8632,1930,0,UNKNOWN,1930,UNKNOWN
2024-03-15,North America,Montserrat,4965,17762,1403,19,UNKNOWN,1376,8
2024-03-15,UNKNOWN,Diamond Princess,UNKNOWN,UNKNOWN,712,0,UNKNOWN,699,13
2024-03-15,Europe,Vatican City,799,UNKNOWN,29,0,UNKNOWN,29,UNKNOWN
2024-03-15,Africa,Western Sahara,626161,UNKNOWN,10,0,UNKNOWN,9,1
2024-03-15,UNKNOWN,MS Zaandam,UNKNOWN,UNKNOWN,9,0,UNKNOWN,7,2
2024-03-15,Asia,China,1448471400,160000000,503302,118977,UNKNOWN,379053,5272
2024-03-15,Africa,Liberia,5305117,139824,8090,12,2,7783,295
2024-03-15,Oceania,Nauru,10903,20509,5393,45,UNKNOWN,5347,1
2024-03-15,North America,Caribbean Netherlands,26647,30126,11682,1168,UNKNOWN,10476,38
2024-03-15,Africa,Gambia,2558482,155686,12626,65,UNKNOWN,12189,372
2024-03-15,Africa,Comoros,907419,UNKNOWN,9109,9,UNKNOWN,8939,161
2024-03-15,Africa,Guinea Bissau,2063367,145231,9614,508,6,8929,177
2024-03-15,Africa,Chad,17413580,191341,7701,2633,UNKNOWN,4874,194
2024-03-15,Oceania,Vanuatu,321832,24976,12019,29,UNKNOWN,11976,14
2024-03-15,North America,Sint Maarten,43966,62056,11051,54,UNKNOWN,10905,92
2024-03-15,Oceania,Wallis and Futuna,10982,20508,3550,3104,UNKNOWN,438,8
2024-03-15,North America,St Barth,9945,78646,5507,UNKNOWN,UNKNOWN,UNKNOWN,6
2024-03-15,North America,Saint Kitts and Nevis,53871,126958,6607,0,UNKNOWN,6559,48
2024-03-15,Oceania,Tokelau,1378,UNKNOWN,80,80,UNKNOWN,UNKNOWN,UNKNOWN
2024-03-15,Oceania,Kiribati,123419,UNKNOWN,5085,2358,3,2703,24
2024-03-15,North America,Saint Martin,39730,112382,12324,UNKNOWN,UNKNOWN,UNKNOWN,63
2024-03-15,Asia,Yemen,31154867,329592,11945,662,UNKNOWN,9124,2159
2024-03-15,North America,Anguilla,15230,51382,3904,UNKNOWN,UNKNOWN,UNKNOWN,12
2024-03-15,North America,Saint Pierre Miquelon,5759,25400,3452,1001,UNKNOWN,2449,2
2024-03-15,North America,Antigua and Barbuda,99509,18901,9106,6,UNKNOWN,8954,146
2024-03-15,Oceania,Tuvalu,12066,UNKNOWN,2943,UNKNOWN,UNKNOWN,UNKNOWN,1
2024-03-15,North America,British Virgin Islands,30596,107339,7392,UNKNOWN,UNKNOWN,UNKNOWN,64
2024-03-15,North America,St Vincent Grenadines,111551,114197,9674,57,UNKNOWN,9493,124
2024-03-15,Africa,CAR,5016678,81294,15440,127,2,15200,113
2024-03-15,North America,Dominica,72344,229344,16038,0,UNKNOWN,15964,74
2024-03-15,Oceania,Cook Islands,17571,19690,7203,51,UNKNOWN,7150,2
2024-03-15,Africa,Sierra Leone,8306436,259958,7779,UNKNOWN,UNKNOWN,UNKNOWN,126
2024-03-15,Oceania,Palau,18233,71280,6279,1,UNKNOWN,6268,10
2024-03-15,Oceania,Niue,1622,UNKNOWN,1059,3,UNKNOWN,1056,UNKNOWN
2024-03-15,Africa,Sao Tome and Principe,227679,29600,6752,0,UNKNOWN,6672,80
2024-03-15,North America,Turks and Caicos,39741,616698,6749,10,4,6699,40
2024-03-15,North America,Cura&ccedil;ao,165529,496693,45986,971,3,44720,295
2024-03-15,Europe,Isle of Man,85732,150753,38008,UNKNOWN,UNKNOWN,UNKNOWN,116
2024-03-15,North America,Cayman Islands,67277,222773,31472,22882,1,8553,37
2024-03-15,Africa,Congo,5797805,347815,25375,983,UNKNOWN,24006,386
2024-03-15,North America,Nicaragua,6779100,UNKNOWN,18491,14041,UNKNOWN,4225,225
2024-03-15,Asia,Tajikistan,9957464,UNKNOWN,17786,397,UNKNOWN,17264,125
2024-03-15,Africa,Equatorial Guinea,1496662,365697,17229,139,5,16907,183
2024-03-15,Africa,Somalia,16841795,400466,27334,12791,UNKNOWN,13182,1361
2024-03-15,North America,Bermuda,61939,1029558,18860,10,UNKNOWN,18685,165
2024-03-15,Africa,Mayotte,286259,176919,42027,UNKNOWN,UNKNOWN,UNKNOWN,188
2024-03-15,North America,Grenada,113475,182981,19693,97,4,19358,238
2024-03-15,North America,Bahamas,400516,257839,38084,874,1,36366,844
2024-03-15,Oceania,Fiji,909466,672883,69117,1006,UNKNOWN,67226,885
2024-03-15,Asia,Timor Leste,1369429,278529,23460,220,UNKNOWN,23102,138
2024-03-15,North America,Aruba,107609,177885,44224,1494,2,42438,292
2024-03-15,Africa,Sudan,45992020,562941,63993,0,UNKNOWN,58947,5046
2024-03-15,Asia,Syria,19364809,146269,57743,0,UNKNOWN,54578,3165
2024-03-15,Asia,Bhutan,787941,2303734,62697,1112,UNKNOWN,61564,21
2024-03-15,Africa,Benin,12784726,604310,28036,26,UNKNOWN,27847,163
2024-03-15,Oceania,Marshall Islands,60057,UNKNOWN,16138,0,UNKNOWN,16121,17
2024-03-15,Africa,Mauritius,1274727,358675,43025,696,UNKNOWN,41278,1051
2024-03-15,Africa,Burundi,12624840,345742,54721,1114,UNKNOWN,53569,38
2024-03-15,Africa,Cabo Verde,567678,401622,64477,305,23,63755,417
2024-03-15,Oceania,Papua New Guinea,9292169,249149,46864,26,UNKNOWN,46168,670
2024-03-15,Europe,Gibraltar,33704,534283,20550,UNKNOWN,UNKNOWN,UNKNOWN,113
